тип,Пр.Всего,Цена,Балк/Лодж,Санузел,Тип дома,Отделка,Этаж,Мебель,ПлощКухни,ЖилПлощ,Кол-воЭтаж,Кол-воКомн,Парковка,Ремонт,ВысПотол,Техника,ОбщПлощ,ГодПостр,Широта,Долгота,Адрес
Вторичка,71,4450000,,совмещенный,кирпичный,,1,,5 м²,18 м²,2,1,,косметический,,,32 м²,1963,55.845213,49.215946,"р-н Советский, Республика Татарстан (Татарстан), Казань, Ягодная ул., 45"
Вторичка,994,6899000,лоджия,раздельный,панельный,,9,,7.5 м²,17 м²,10,1,,требует ремонта,,,33 м²,1994,55.820506,49.130749,"Республика Татарстан, Казань, Чистопольская ул., 61"
Вторичка,2016,15350000,балкон,раздельный,кирпичный,,7,,14 м²,,19,3,,дизайнерский,,,86.6 м²,2021,55.801081,49.20504,"р-н Советский, Республика Татарстан, Казань, ул. Зур Урам, 1Кк5"
Вторичка,3216,5850000,балкон,совмещенный,панельный,,1,,7 м²,18 м²,9,1,,косметический,2.7 м,,35.2 м²,1976,55.749106,49.221255,"Республика Татарстан (Татарстан), Казань, ул. Сафиуллина, 28"
Новостройки,20,17760000,лоджия,,кирпичный,без отделки,3,,21.3 м²,36.8 м²,10,3,,,,,73.7 м²,,55.80853,49.23026,"р-н Советский, с. Константиновка, ул. Анаса Тазетдинова, д. 5"
Вторичка,789,9333222,лоджия,раздельный,монолитно-кирпичный,,11,,17 м²,28 м²,23,2,"подземная, наземная многоуровневая, открытая во дворе, за шлагбаумом во дворе",требует ремонта,2.7 м,,50 м²,2024,55.77276605037364,49.14129476196286,"Республика Татарстан (Татарстан), Казань, ул. Павлюхина, 73"
Вторичка,624,6700000,лоджия,совмещенный,панельный,,6,,8 м²,17 м²,10,1,,евро,,,35 м²,2004,55.768491,49.243227,"Республика Татарстан (Татарстан), Казань, ул. Ноксинский Спуск, 28"
Вторичка,229,13899000,балкон,раздельный,блочный,,11,,17 м²,50 м²,23,2,,дизайнерский,,,80 м²,2024,55.752242,49.167059,"Республика Татарстан, Казань, ул. Карбышева, 12А"
Вторичка,381,8950000,лоджия,совмещенный,монолитно-кирпичный,,4,,9 м²,,19,1,,евро,,,42.8 м²,2019,55.724231,49.174884,"Республика Татарстан, Казань, ул. Рауиса Гареева, 111к2"
Вторичка,421,7000000,балкон,раздельный,панельный,,4,,8.9 м²,,4,3,,косметический,2.5 м,,58.6 м²,1997,55.621729,49.155103,"Республика Татарстан, Лаишевский р-н, Песчано-Ковалинское сельское поселение, с. Песчаные Ковали, Октябрьская ул., 3А"
Новостройки,15,17784000,лоджия,,кирпичный,без отделки,4,,21.3 м²,36.8 м²,10,3,,,,,73.7 м²,,55.80853,49.23026,"р-н Советский, с. Константиновка, ул. Анаса Тазетдинова, д. 5"
Вторичка,4746,8700000,лоджия,,кирпичный,,9,,6.3 м²,39.3 м²,10,3,,евро,,,58.4 м²,,55.753651,49.189616,"Республика Татарстан, Казань, ул. Хусаина Мавлютова, 17"
Вторичка,117,7100000,балкон,совмещенный,кирпичный,,8,,8 м²,14.8 м²,9,1,открытая во дворе,евро,,,29.4 м²,2015,55.722416,49.171506,"Республика Татарстан, Казань, ул. Рауиса Гареева, 92"
Вторичка,171,14500000,лоджия,раздельный,кирпичный,,9,,10.6 м²,42.7 м²,9,2,,евро,,,67.7 м²,2006,55.822225,49.151042,"Республика Татарстан, Казань, Чистопольская ул., 81"
