views,price,floor,kitchen_area,living_area,total_floors,rooms,ceiling_height,total_area,year_built,latitude,longitude,address,floor_ratio,type_vtorichka,type_novostroyki,balcony_lodzhiya,balcony_balkon,balcony_net,bathroom_sovmeschennyy,bathroom_razdelnyy,bathroom_,house_type_kirpichnyy,house_type_monolitnyy,house_type_monolitno-kirpichnyy,house_type_blochnyy,house_type_panelnyy,house_type_derevyannyy,repair_trebuet_remonta,repair_evro,repair_kosmeticheskiy,repair_dizaynerskiy,repair_neizvestnyy,finishing_neizvestnyy,finishing_predchistovaya,finishing_bez_otdelki,finishing_chistovaya,furniture_net,furniture_kuhnya,furniture_hranenie_odezhdy,furniture_spalnye_mesta,parking_podzemnaya,parking_otkrytaya_vo_dvore,parking_za_shlagbaumom_vo_dvore,parking_nazemnaya_mnogourovnevaya,parking_net,technique_net,technique_stiralnaya_mashina,technique_holodilnik,technique_konditsioner,technique_posudomoechnaya_mashina,technique_vodonagrevatel,price_per_sqm,geometry,Kindergarten,School,Mall,Playground,Theatre,Supermarket,Subway Entrance,Bus Stop,Park,Square,Sports Centre,Hospital,Highway,Parking
497,3490000,1,3.0,8.2,4.0,1.0,3.1,11.2,2005.0,55.787062,49.139831,"Республика Татарстан (Татарстан), Казань, Вахитовский район, Овражная ул., 52",0.25,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,311607.1428571429,POINT (49.139831 55.787062),6,3,0,2,0,2,0,1,0,0,1,1,93,4
319,21000000,3,25.0,40.0,18.0,3.0,2.8,90.6,2013.0,55.81728363,49.13883591,"Республика Татарстан, Казань, ул. Сибгата Хакима, 39",0.16666666666666666,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,231788.0794701987,POINT (49.13883591 55.81728363),3,1,0,6,0,2,0,0,0,0,0,1,165,4
3323,5750000,9,8.0,18.0,9.0,1.0,2.7,35.1,1987.0,55.837257,49.148159,"р-н Ново-Савиновский, Республика Татарстан, Казань, ул. Адоратского, 28",1.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,163817.66381766382,POINT (49.148159 55.837257),2,0,0,2,0,8,0,7,0,0,0,1,149,4
1261,8200000,4,8.6,41.0,10.0,3.0,270.0,64.0,1995.0,55.771818,49.234909,"Республика Татарстан, Казань, Минская ул., 34",0.4,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,128125.0,POINT (49.234909 55.771818),0,1,0,1,0,1,0,2,0,0,0,0,113,5
403,8000000,8,,26.9,22.0,0.0,2.7,26.9,2019.0,55.803332,49.176456,"р-н Советский, Республика Татарстан, Казань, ул. Бари Галеева, 8Ак1",0.36363636363636365,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,297397.76951672864,POINT (49.176456 55.803332),4,0,0,8,0,1,0,0,0,0,0,1,98,14
4096,6950000,3,6.0,18.0,5.0,2.0,2.7,45.0,1969.0,55.76693344116211,49.140419006347656,"Республика Татарстан, Казань, Ботаническая ул., 13",0.6,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,154444.44444444444,POINT (49.140419006347656 55.76693344116211),4,1,0,6,0,0,0,0,0,0,0,0,97,16
1012,7700000,1,6.0,31.0,5.0,2.0,2.7,47.9,1965.0,55.82987595,49.07680511,"Республика Татарстан (Татарстан), Казань, ул. Шамиля Усманова, 8",0.2,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,160751.56576200417,POINT (49.07680511 55.82987595),3,3,0,4,0,2,0,2,1,0,0,0,166,12
205,8980000,4,7.5,32.0,9.0,3.0,2.7,60.0,1972.0,55.82706098323063,49.06504233413517,"Республика Татарстан (Татарстан), Казань, ул. Серова, 19",0.4444444444444444,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,149666.66666666666,POINT (49.06504233413517 55.82706098323063),3,2,1,5,0,2,0,2,1,0,1,0,96,5
5608,10500000,1,11.0,52.0,15.0,3.0,2.7,74.2,1999.0,55.82545557671786,49.1281348140601,"Республика Татарстан, Казань, пр-т Ямашева, 61",0.06666666666666667,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,141509.43396226416,POINT (49.1281348140601 55.82545557671786),1,2,1,1,0,5,0,0,0,0,0,0,156,6
1083,3499000,2,,,5.0,0.0,2.7,15.0,,55.78620148,49.16633224,"Республика Татарстан, Казань, ул. Аделя Кутуя, 8",0.4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,233266.66666666666,POINT (49.16633224 55.78620148),4,2,0,1,0,2,0,2,1,0,0,0,129,6
